2024-02-06 15:48:35 configure libitm1:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libitm1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libitm1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libitm1:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure gcc-9-base:amd64 9.4.0-1ubuntu1~20.04.2 <none>
2024-02-06 15:48:35 status unpacked gcc-9-base:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status half-configured gcc-9-base:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status installed gcc-9-base:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 configure libalgorithm-merge-perl:all 0.08-3 <none>
2024-02-06 15:48:35 status unpacked libalgorithm-merge-perl:all 0.08-3
2024-02-06 15:48:35 status half-configured libalgorithm-merge-perl:all 0.08-3
2024-02-06 15:48:35 status installed libalgorithm-merge-perl:all 0.08-3
2024-02-06 15:48:35 configure libtsan0:amd64 10.5.0-1ubuntu1~20.04 <none>
2024-02-06 15:48:35 status unpacked libtsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status half-configured libtsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 status installed libtsan0:amd64 10.5.0-1ubuntu1~20.04
2024-02-06 15:48:35 configure libctf0:amd64 2.34-6ubuntu1.8 <none>
2024-02-06 15:48:35 status unpacked libctf0:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status half-configured libctf0:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status installed libctf0:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 configure libasan5:amd64 9.4.0-1ubuntu1~20.04.2 <none>
2024-02-06 15:48:35 status unpacked libasan5:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status half-configured libasan5:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status installed libasan5:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 configure cpp-9:amd64 9.4.0-1ubuntu1~20.04.2 <none>
2024-02-06 15:48:35 status unpacked cpp-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status half-configured cpp-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status installed cpp-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 configure libc6-dev:amd64 2.31-0ubuntu9.14 <none>
2024-02-06 15:48:35 status unpacked libc6-dev:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:35 status half-configured libc6-dev:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:35 status installed libc6-dev:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:35 configure binutils-x86-64-linux-gnu:amd64 2.34-6ubuntu1.8 <none>
2024-02-06 15:48:35 status unpacked binutils-x86-64-linux-gnu:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status half-configured binutils-x86-64-linux-gnu:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status installed binutils-x86-64-linux-gnu:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 configure binutils:amd64 2.34-6ubuntu1.8 <none>
2024-02-06 15:48:35 status unpacked binutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status half-configured binutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 status installed binutils:amd64 2.34-6ubuntu1.8
2024-02-06 15:48:35 configure dpkg-dev:all 1.19.7ubuntu3.2 <none>
2024-02-06 15:48:35 status unpacked dpkg-dev:all 1.19.7ubuntu3.2
2024-02-06 15:48:35 status half-configured dpkg-dev:all 1.19.7ubuntu3.2
2024-02-06 15:48:35 status installed dpkg-dev:all 1.19.7ubuntu3.2
2024-02-06 15:48:35 configure libgcc-9-dev:amd64 9.4.0-1ubuntu1~20.04.2 <none>
2024-02-06 15:48:35 status unpacked libgcc-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status half-configured libgcc-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 status installed libgcc-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:35 configure cpp:amd64 4:9.3.0-1ubuntu2 <none>
2024-02-06 15:48:35 status unpacked cpp:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:35 status half-configured cpp:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:35 status installed cpp:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:35 configure gcc-9:amd64 9.4.0-1ubuntu1~20.04.2 <none>
